etat,marque,processeur,ram,stockage,prix
Neuf,Apple,m1,16,1tb,1 150 000 F Cfa
D'occasion,HP,2.6GHZ,2GO,80GO,35 000 F Cfa
Venant,Dell,i7,8,256,210 000 F Cfa
Neuf,ASUS,I7,12,256,390 000 F Cfa
Venant,Acer,DUO CORE ✅,4 GO ✅,256 GO SSD ❤,185 000 F Cfa
Neuf,Lenovo,Corei7 /2.90Ghz,16Giga,512Giga Ssd,320 000 F Cfa
Neuf,Acer,I5,8,256,290 000 F Cfa
D'occasion,Dell,CORE i5,4 Go,500 Go,90 000 F Cfa
Neuf,Lenovo,,4,1TERA,250 000 F Cfa
Neuf,Dell,I5,8,256,370 000 F Cfa
Neuf,Autre,,,,100 000 F Cfa
Venant,Apple,CORE i7 ✅,16 Go ❤,500 Go SSD ✅,700 000 F Cfa
Venant,Dell,i5 -11th,8 Go ❤,256 Go SSD ✅,300 000 F Cfa
Venant,HP,R5 = i7 ✅,8 GO ✅,256 GO SSD ✅,350 000 F Cfa
Neuf,Dell,I7,32giga,512ssd,600 000 F Cfa
Neuf,HP,Corei5 /2.70ghz,8giga ddr4,500Giga,260 000 F Cfa
Neuf,Acer,1.8,16,512,750 000 F Cfa
Neuf,HP,,,,200 000 F Cfa
D'occasion,Lenovo,Core i5,8Go,256Go,350 000 F Cfa
D'occasion,HP,3.1ghz,4Go,250GO,55 000 F Cfa
Neuf,HP,i7 10th,8,1TO,440 000 F Cfa
Venant,Lenovo,I5,8,256,470 000 F Cfa
Venant,HP,Corei7 /2.70Ghz,8Giga,500Giga,230 000 F Cfa
Venant,Apple,I5,8,128,335 000 F Cfa
Neuf,HP,I3 10th,4 Go,1TO,485 000 F Cfa
Neuf,Apple,I5,16,1TO,710 000 F Cfa
D'occasion,Lenovo,CORE i5 ✅,8GO ✅,256 GO SSD ✅,250 000 F Cfa
D'occasion,Apple,CORE i5 ✅,8 Go ✅,128 Go Ssd,350 000 F Cfa
Venant,HP,Core i5,4 Go,320 Go,90 000 F Cfa
Venant,HP,3.5,4GO,500GO,250 000 F Cfa
Venant,Dell,cor i5,8GO,500GO,175 000 F Cfa
D'occasion,Apple,Core i7,16Go,512Go,700 000 F Cfa
Neuf,Lenovo,,,,125 000 F Cfa
Venant,Apple,CORE i5 ❤,8 GO ✅,128 GO SSD ❤,450 000 F Cfa
Neuf,Dell,,,,320 000 F Cfa
D'occasion,Dell,2.4,8,500,165 000 F Cfa
Neuf,ASUS,Core i5,16Go,512Go,450 000 F Cfa
D'occasion,HP,CORE i5,8 Go,128 Go SSD,160 000 F Cfa
Venant,Lenovo,1.50Ghz,4GB,320GB,70 000 F Cfa
Venant,Dell,core i7,16,512,380 000 F Cfa
Venant,HP,i5,8,500,275 000 F Cfa
D'occasion,Dell,CORE i3,8 Go,256 Go SSD,150 000 F Cfa
Venant,LG,CORE i7 ✅,8 GO ✅,500 GO SSD ✅,350 000 F Cfa
Venant,Fujitsu,CORE i7 ✅,16 GO ✅,500 GO SSD ✅,400 000 F Cfa
Réconditionné,HP,i5,8,128 et 500,225 000 F Cfa
Venant,HP,I5 10th GEN,8,256,400 000 F Cfa
Neuf,HP,i7,8 gb,1000,380 000 F Cfa
D'occasion,HP,2.80GO,16GO,1000GO,350 000 F Cfa
