prix,etat,marque,couleur,dimension_ecran,ram,stockage
30 000 F Cfa,Neuf,iPhone,Toutes les couleurs disponibles,4.5 Pouces,2gb,32gb
59 900 F Cfa,Neuf,Sony,Silver blue rose foucha,5.2 Pouces,4,64
65 000 F Cfa,Neuf,Samsung,Noir bleu,6.5 Pouces,2,32
64 900 F Cfa,Neuf,Samsung,,,,
129 900 F Cfa,D'occasion,Samsung,Noir bleu,,,
129 900 F Cfa,D'occasion,Samsung,Noir bleu,,,64
29 900 F Cfa,Neuf,Invens,,5.0 Pouces,2,16
89 900 F Cfa,D'occasion,Samsung,Noir bleu,,4,64
710 000 F Cfa,D'occasion,iPhone,Pacific Blue,,,128 Go
150 000 F Cfa,D'occasion,Samsung,Noir bleu,,6,128
75 000 F Cfa,Venant,Autres,,,6,128
95 000 F Cfa,Neuf,Samsung,Noir,6.5 Pouces,4go,128go
160 000 F Cfa,Neuf,Huawei,Bleu noir,6.1 Pouces,6go,256go
46 000 F Cfa,Neuf,Invens,Bleu gris,6.5 Pouces,3go,32go
94 900 F Cfa,Neuf,Samsung,Bleu noir rouge,6.5 Pouces,4,128
460 000 F Cfa,Venant,iPhone,Bleu,,,128Go
200 000 F Cfa,Neuf,Samsung,,,12,256
27 500 F Cfa,Neuf,Invens,Noir,5.0 Pouces,1,8
390 000 F Cfa,Neuf,iPhone,Red edition,,,256 Go
200 000 F Cfa,Venant,Samsung,,,12,256
175 000 F Cfa,Neuf,iPhone,gold,,3 Go,64 Go
175 000 F Cfa,Neuf,Xiaomi,Bleue blanc noir,,6,128
59 900 F Cfa,Venant,Sony,Bleu noir gris blanc,5.0 Pouces,4go,64go
195 000 F Cfa,Venant,iPhone,Noir,,,256 Go
760 000 F Cfa,Neuf,iPhone,Graphite,,,256 Go
225 000 F Cfa,Venant,iPhone,"Blanc, Noir",,,256 Go
140 000 F Cfa,Neuf,iPhone,Silver,5.8 Pouces,3,256
110 000 F Cfa,Neuf,Huawei,Noir,6.2 Pouces,4go,128go
290 000 F Cfa,Neuf,Tecno,BLEU,6.7 Pouces,8GO,256GO
90 000 F Cfa,Neuf,Huawei,Black blue red,6.0 Pouces,4,128
520 000 F Cfa,Neuf,iPhone,Vert,,,128Go
45 000 F Cfa,Venant,Honor,,,4,32
580 000 F Cfa,Neuf,iPhone,Red,,,512 Go
210 000 F Cfa,Neuf,iPhone,Midnight,,,64 Go
10 000 F Cfa,Neuf,,,,,
29 900 F Cfa,Neuf,Autres,Orange bleu noir vert,5.5 Pouces,2go,8go
287 000 F Cfa,Neuf,iPhone,Gold,7.0 Pouces,4,256
75 000 F Cfa,D'occasion,iPhone,Gold noire rouge gold pink,4.7 Pouces,2,128
60 000 F Cfa,Neuf,Samsung,Bleu noir,6.5 Pouces,2,32
120 000 F Cfa,Neuf,Samsung,,,,
115 000 F Cfa,Neuf,Tecno,,,,
90 000 F Cfa,Venant,Samsung,Noir bleu blanc,5.8 Pouces,4go,64go
